GMP_early_HC_no_chr21amp	GMP_early_MPNAML_chr21amp	GMP_early_MPNAML_no_chr21amp	GMP_late_HC_no_chr21amp	GMP_late_MPNAML_chr21amp	GMP_late_MPNAML_no_chr21amp	HSC_HC_no_chr21amp	HSC_MPNAML_chr21amp	HSC_MPNAML_no_chr21amp	MkEP_HC_no_chr21amp	MkEP_MPNAML_chr21amp	MkEP_MPNAML_no_chr21amp	MPP_HC_no_chr21amp	MPP_MPNAML_chr21amp	MPP_MPNAML_no_chr21amp	
-0.138052248	-0.147551438	-0.377929733	-0.355687245	-0.354347587	-0.438369319	-0.263774892	-0.478814058	-0.523937238	-0.38750204	0.126172515	-0.340814853	0.051121179	-0.53539161	-0.512126267	-0.429394162
1.099002786	-0.733742598	1.879015924	1.146157793	0.449906241	2.871632346	1.007795225	-0.002315366	0.488912446	-0.177805243	-0.574287794	0.20785185	-0.443132576	-0.448598179	0.641700894	-0.681697227
2.684145979	-0.363955756	-1.093996793	-0.238768921	0.025374372	-0.811988427	0.230820545	-0.764159905	-0.900678055	0.243586909	-0.459647198	-1.081153189	-0.485064724	-0.339642551	-0.995546032	-0.435555988
2.475561892	0.198139539	-0.39776934	0.053109632	0.003579701	-0.290219688	0.220114505	-0.402337217	-0.792602612	-0.651995305	0.477865567	-0.293791318	-0.063110442	0.041098538	-0.65043863	-0.435742361
-0.238618532	0.103469576	-1.138332899	-0.681681935	0.453814793	-1.110122622	-0.340026796	1.377553837	0.111587798	-0.545809266	-0.422196078	-1.275548575	-0.761984684	-0.298591967	-0.76643078	-0.677416528
-0.186065794	-0.444468903	-0.463853533	-0.461747352	-0.141931601	-0.446313133	-0.279902496	-0.444065017	-0.490500197	-0.468357536	-0.477366477	-0.462114959	-0.472878554	-0.448495998	-0.482707239	-0.466194746
-0.587910824	-0.711511925	-0.887706761	-0.349364705	-0.210767611	-0.916495521	-0.148489492	0.514373876	-0.030216349	0.939473879	-0.832780368	-0.542989418	-0.274145937	-0.084169847	-0.47200337	0.136282644
-0.611752911	-0.031895867	-1.156141439	-0.643331157	0.397835692	-1.292672175	-0.316942599	1.515431519	-0.087362568	-1.063705694	-0.055820286	-1.167165396	-0.673602979	-0.25063526	-1.026915453	-0.563736082
-0.781514028	0.133718052	-0.266669227	0.111091846	0.461104365	-0.046294405	-0.152710386	0.871849325	0.170757244	0.705789601	0.011520236	-0.166720558	-0.130234457	0.681327416	-0.050088493	0.338087323
0.103638014	0.039131007	-0.361357999	0.10656312	0.72935376	0.151099826	0.090379948	-0.019452461	-0.414408725	0.65242319	-0.498826374	-0.569079274	-0.705172634	0.678651654	-0.320781275	0.005362082
0.305891501	-0.674016123	-0.652418426	-0.649638906	0.372311151	0.041015802	0.028289685	-0.141730833	-0.711774253	-0.388307457	-0.636657583	-0.585154383	-0.626422135	-0.502061335	-0.736273789	-0.621091941
0.045677805	-0.472671972	-0.428403216	-0.290614118	0.66842924	-0.023941828	0.02541735	-0.113962214	-0.508789393	-0.041835034	-0.90623223	-0.690133645	-0.765954943	-0.108351394	-0.472375765	-0.242765776
0.006980343	-0.54343093	-0.405820063	-0.041284856	-0.279062616	-0.557109246	-0.213785827	1.095487231	1.306810919	1.645977731	-0.96019583	-0.204197825	-0.409591211	1.023682586	0.718820074	0.947637283
1.067938369	0.343543638	1.185225958	1.181538952	-0.714506942	0.860470818	0.603224788	-0.524703596	0.596942881	-0.043415628	-0.916506908	0.126566106	-0.503706831	-0.213756989	0.695328418	0.570866325
0.825919124	-0.960754003	0.001886828	-0.706399819	0.082873196	1.026135822	0.1738795	0.284508149	-0.67668141	0.529742564	-1.305641075	-1.280391965	-1.003174118	-0.2049332	-0.811089867	-0.617403145
-1.077671952	-0.234661211	-1.410565893	-0.785935864	0.452231894	-0.629911211	-0.426967218	0.023129347	-1.299889695	0.261911046	0.234131919	-1.184872019	-0.586617274	-1.13E-05	-1.452349628	-0.76476134
