Regulon	CellType	RelativeActivity
232	POLR3A(+)	CD14_monos_HC_no_chr21amp	0.179153582752311
236	POU2F1(+)	CD14_monos_HC_no_chr21amp	0.516497460737724
237	POU2F2(+)	CD14_monos_HC_no_chr21amp	1.10710703735786
240	POU6F1(+)	CD14_monos_HC_no_chr21amp	0.402389926203737
241	PPARA(+)	CD14_monos_HC_no_chr21amp	0.811322540271038
242	PPARD(+)	CD14_monos_HC_no_chr21amp	2.62480586455891
243	PPARG(+)	CD14_monos_HC_no_chr21amp	2.22506372678894
244	PPARGC1A(+)	CD14_monos_HC_no_chr21amp	1.18918020153564
245	PRDM1(+)	CD14_monos_HC_no_chr21amp	1.72445977578476
246	PRDM16(+)	CD14_monos_HC_no_chr21amp	0.000102531064170074
249	PRRX2(+)	CD14_monos_HC_no_chr21amp	0.241057413527124
252	RARA(+)	CD14_monos_HC_no_chr21amp	2.04961241979513
254	RARG(+)	CD14_monos_HC_no_chr21amp	1.39507110944881
255	RBBP5(+)	CD14_monos_HC_no_chr21amp	0.162521383667756
256	RCOR1(+)	CD14_monos_HC_no_chr21amp	1.68638572837751
257	REL(+)	CD14_monos_HC_no_chr21amp	1.65018897687358
258	RELA(+)	CD14_monos_HC_no_chr21amp	1.11611821604664
259	RELB(+)	CD14_monos_HC_no_chr21amp	1.42008303853848
262	RFX2(+)	CD14_monos_HC_no_chr21amp	0.937314317446379
264	RFX5(+)	CD14_monos_HC_no_chr21amp	0.21871535688645
267	RREB1(+)	CD14_monos_HC_no_chr21amp	1.13974503008828
269	RUNX3(+)	CD14_monos_HC_no_chr21amp	1.23815085728375
270	RXRA(+)	CD14_monos_HC_no_chr21amp	1.79172446230323
274	SIN3A(+)	CD14_monos_HC_no_chr21amp	0.110997788948001
275	SIRT6(+)	CD14_monos_HC_no_chr21amp	0.624347311030574
279	SMAD7(+)	CD14_monos_HC_no_chr21amp	2.20083953492086
283	SOX15(+)	CD14_monos_HC_no_chr21amp	1.24025190677647
286	SOX5(+)	CD14_monos_HC_no_chr21amp	0.130207010462364
289	SOX8(+)	CD14_monos_HC_no_chr21amp	1.30194067446489
290	SP3(+)	CD14_monos_HC_no_chr21amp	1.1738527965087
291	SP4(+)	CD14_monos_HC_no_chr21amp	0.592194501703308
293	SPI1(+)	CD14_monos_HC_no_chr21amp	1.51307030862245
294	SPIB(+)	CD14_monos_HC_no_chr21amp	1.16630321989991
296	SREBF2(+)	CD14_monos_HC_no_chr21amp	0.784030395970724
297	SRF(+)	CD14_monos_HC_no_chr21amp	1.41425264186338
298	STAT1(+)	CD14_monos_HC_no_chr21amp	0.801300583951882
299	STAT2(+)	CD14_monos_HC_no_chr21amp	1.10840250377566
300	STAT3(+)	CD14_monos_HC_no_chr21amp	0.844643662727506
304	STAT6(+)	CD14_monos_HC_no_chr21amp	0.602975924607921
311	TBX21(+)	CD14_monos_HC_no_chr21amp	0.836072121982856
314	TCF15(+)	CD14_monos_HC_no_chr21amp	0.0926972751252337
317	TCF7L2(+)	CD14_monos_HC_no_chr21amp	1.35661414235142
324	TFE3(+)	CD14_monos_HC_no_chr21amp	1.11640299972935
325	TFEB(+)	CD14_monos_HC_no_chr21amp	1.66933321029048
326	THRA(+)	CD14_monos_HC_no_chr21amp	1.98670608260171
330	USF1(+)	CD14_monos_HC_no_chr21amp	0.708394290588407
331	USF2(+)	CD14_monos_HC_no_chr21amp	0.723051377043567
332	VDR(+)	CD14_monos_HC_no_chr21amp	1.88598453895174
333	VENTX(+)	CD14_monos_HC_no_chr21amp	2.43475207297141
334	VEZF1(+)	CD14_monos_HC_no_chr21amp	0.354437071686499
335	WRNIP1(+)	CD14_monos_HC_no_chr21amp	0.631250396963979
338	XRCC4(+)	CD14_monos_HC_no_chr21amp	0.0435236937608123
342	ZBTB33(+)	CD14_monos_HC_no_chr21amp	0.601078297931042
344	ZBTB7A(+)	CD14_monos_HC_no_chr21amp	1.64216659030363
345	ZBTB7B(+)	CD14_monos_HC_no_chr21amp	1.61388876522622
346	ZEB1(+)	CD14_monos_HC_no_chr21amp	0.00645497421972732
349	ZFX(+)	CD14_monos_HC_no_chr21amp	1.61805926589032
350	ZMIZ1(+)	CD14_monos_HC_no_chr21amp	1.12016568096677
353	ZNF143(+)	CD14_monos_HC_no_chr21amp	1.38423422585823
358	ZNF263(+)	CD14_monos_HC_no_chr21amp	1.12428687243751
359	ZNF311(+)	CD14_monos_HC_no_chr21amp	0.280206877378281
360	ZNF322(+)	CD14_monos_HC_no_chr21amp	0.329636373249674
362	ZNF366(+)	CD14_monos_HC_no_chr21amp	0.197260615638924
365	ZNF467(+)	CD14_monos_HC_no_chr21amp	1.23964340979085
367	ZNF549(+)	CD14_monos_HC_no_chr21amp	0.307970542192087
368	ZNF563(+)	CD14_monos_HC_no_chr21amp	0.233199301386121
371	ZNF697(+)	CD14_monos_HC_no_chr21amp	2.46815031582444
373	ZNF787(+)	CD14_monos_HC_no_chr21amp	1.76672308742953
374	ZNF821(+)	CD14_monos_HC_no_chr21amp	1.164667304304
375	ZRSR2(+)	CD14_monos_HC_no_chr21amp	0.906166022260899
377	AHRR(+)	CD14_monos_MPNAML_chr21amp	1.76299725713268
378	AKR1A1(+)	CD14_monos_MPNAML_chr21amp	0.36146083087152
380	ARID3A(+)	CD14_monos_MPNAML_chr21amp	1.95655769552167
381	ARNT(+)	CD14_monos_MPNAML_chr21amp	1.50274474568632
382	ARX(+)	CD14_monos_MPNAML_chr21amp	1.01314589026432
383	ASCL2(+)	CD14_monos_MPNAML_chr21amp	1.19457312309068
384	ATF1(+)	CD14_monos_MPNAML_chr21amp	0.468199691276113
