TF	Target	Importance
333	TGIF1	DYRK1A	0.0889250388802846
334	RBM3	DYRK1A	0.0886161824550324
335	WT1	DYRK1A	0.0879414930288626
336	YWHAZ	DYRK1A	0.0878270663482544
337	LMO2	DYRK1A	0.0869114114197702
338	TFAM	DYRK1A	0.0854950583021234
339	KDM4D	DYRK1A	0.0853032147194231
340	ZNF770	DYRK1A	0.0848364211285798
341	BCL11A	DYRK1A	0.0842824631276131
342	RBFOX2	DYRK1A	0.0839657641989152
343	ZNF207	DYRK1A	0.0833105389447277
344	LYL1	DYRK1A	0.0831300668538761
345	ZNF729	DYRK1A	0.0826554377898646
346	ZNF841	DYRK1A	0.0825080480758597
347	ZNF254	DYRK1A	0.0825025225486962
348	ZNF844	DYRK1A	0.0812703993469556
349	PPP1R10	DYRK1A	0.0812376938833247
350	ZNF708	DYRK1A	0.0798665657737547
351	ZNF253	DYRK1A	0.0797473565967316
352	EBF4	DYRK1A	0.0795066325676483
353	CHD1	DYRK1A	0.0791999968024085
354	SFT2D1	DYRK1A	0.0788051258288723
355	HESX1	DYRK1A	0.0785199519747966
356	ZNF652	DYRK1A	0.0779906439113297
357	STAT1	DYRK1A	0.0778752232193681
358	ZNF610	DYRK1A	0.0770259941329654
359	TROVE2	DYRK1A	0.0767355369901003
360	ZBTB11	DYRK1A	0.0756223632323841
361	PUM3	DYRK1A	0.0754053778354935
362	NFATC2	DYRK1A	0.0740851025903249
363	HDAC6	DYRK1A	0.0739462534869361
364	MEIS3	DYRK1A	0.0726002628580296
365	UBP1	DYRK1A	0.0722818774808828
366	TRIP10	DYRK1A	0.0721249045594397
367	HOXA9	DYRK1A	0.0718728490295026
368	ARID5A	DYRK1A	0.0711762851995019
369	NAP1L1	DYRK1A	0.0709718461155631
370	GLI3	DYRK1A	0.0707128875009486
371	ZNF621	DYRK1A	0.070557846062768
372	RBMS1	DYRK1A	0.070435430464054
373	ZSCAN2	DYRK1A	0.0703611010333508
374	PRNP	DYRK1A	0.0702665456461891
375	MNT	DYRK1A	0.0700175868081171
376	MYEF2	DYRK1A	0.0688759679784583
377	HIRIP3	DYRK1A	0.0685462679409222
378	YOD1	DYRK1A	0.0684596782623814
379	MSI1	DYRK1A	0.0674639014698912
380	ZNF100	DYRK1A	0.0669522126165613
381	AVEN	DYRK1A	0.0668768650977636
382	ABL1	DYRK1A	0.0665440500743244
383	KIF22	DYRK1A	0.0664069257294394
384	ATF4	DYRK1A	0.0663015125293661
385	PBX1	DYRK1A	0.0662749589171014
386	ZFP90	DYRK1A	0.0659848529985271
387	UBXN1	DYRK1A	0.0659516223550025
388	ZNF669	DYRK1A	0.0653627881321347
389	IKZF4	DYRK1A	0.0649866593917017
390	RELB	DYRK1A	0.0648259366830556
391	GTF2F1	DYRK1A	0.0642026691621667
392	PURG	DYRK1A	0.0640631460187903
393	ZNF451	DYRK1A	0.0637622833411959
394	TBX19	DYRK1A	0.0634488944953967
395	ZFP64	DYRK1A	0.0632436143000121
396	ILF2	DYRK1A	0.0631675849058088
397	GMEB2	DYRK1A	0.0626843343806475
398	ZNF627	DYRK1A	0.0623685983168201
399	GLI1	DYRK1A	0.0618710825069142
400	CERS5	DYRK1A	0.0610232660423929
401	CREM	DYRK1A	0.0608959766917882
402	NFE2L1	DYRK1A	0.0608746397009204
403	RBM8A	DYRK1A	0.0608287563725359
404	ZBTB7A	DYRK1A	0.0607441985715081
405	TAF9	DYRK1A	0.0605423677240385
406	ZNF562	DYRK1A	0.0603913895897535
407	ZFHX2	DYRK1A	0.0603399583314855
408	KDM7A	DYRK1A	0.0595250729533124
409	ZNF316	DYRK1A	0.0588307818323888
410	TIA1	DYRK1A	0.058662330050016
411	TFAP2E	DYRK1A	0.0585090398472665
412	ZNF680	DYRK1A	0.0584967523391699
413	ESRRB	DYRK1A	0.0581315934409708
414	ASH2L	DYRK1A	0.0576383781334214
415	DDIT3	DYRK1A	0.0575842488016318
416	YEATS4	DYRK1A	0.0571870913770028
417	EDN1	DYRK1A	0.0568614803429176
418	HCFC2	DYRK1A	0.0562606748709307
419	SMARCA1	DYRK1A	0.0559614421155084
420	CIC	DYRK1A	0.0552837098457412
421	ZNF821	DYRK1A	0.0543811281359118
422	IRF2	DYRK1A	0.054292262590409
423	ZNF83	DYRK1A	0.0542465409081092
424	GLIS2	DYRK1A	0.0540295958405068
425	ZNF550	DYRK1A	0.0534462138434726
426	ZSCAN5A	DYRK1A	0.0534375240040253
427	SP2	DYRK1A	0.053385417261754
428	CLK1	DYRK1A	0.0533201128017412
429	ZBTB37	DYRK1A	0.0529201389329899
430	ODC1	DYRK1A	0.0527882870290555
431	ZNF468	DYRK1A	0.0526053546334107
432	ZNF516	DYRK1A	0.0523240398842916
433	ZNF140	DYRK1A	0.0521234834467028
434	HOXB2	DYRK1A	0.0519443176857205
435	ADNP	DYRK1A	0.0517186610904313
436	MEIS2	DYRK1A	0.0515740449351419
437	PRKAA1	DYRK1A	0.0513248923821846
438	ATF3	DYRK1A	0.0511921768744172
439	ZSCAN12	DYRK1A	0.0511022524870399
440	ZNF486	DYRK1A	0.0508164197608001
441	NF1	DYRK1A	0.0505745223786908
442	GAR1	DYRK1A	0.0504905974031808
443	ZHX1	DYRK1A	0.0504807579569112
444	HIVEP2	DYRK1A	0.0500884156724245
445	ZNF160	DYRK1A	0.0500479550846387
446	ZNF671	DYRK1A	0.0496177959301533
447	CYCS	DYRK1A	0.0493901285587819
448	PRDM5	DYRK1A	0.0489032404149907
449	ZNF496	DYRK1A	0.0488410501685654
450	ZNF697	DYRK1A	0.0487476014628772
451	CDK2AP1	DYRK1A	0.0485992350352923
452	NR4A1	DYRK1A	0.048431102098198
453	GTF2B	DYRK1A	0.0479993122554061
454	ZNF416	DYRK1A	0.0479480858082542
455	ZNF830	DYRK1A	0.0478283396135664
456	ZNF549	DYRK1A	0.0477034956435519
457	ESRRA	DYRK1A	0.0474540944038874
458	NFYB	DYRK1A	0.0472415842214289
459	STAT2	DYRK1A	0.0465322940266806
460	ZNF382	DYRK1A	0.0465099769977076
461	GPAM	DYRK1A	0.0462562391961532
462	ELK3	DYRK1A	0.046107547002645
463	FOXN2	DYRK1A	0.0460331885233882
464	PQBP1	DYRK1A	0.0459824218719077
465	ZNF274	DYRK1A	0.04568353891368
466	CEBPB	DYRK1A	0.0454810332004034
467	UTP18	DYRK1A	0.0454309933873741
468	ERF	DYRK1A	0.0448108498639981
469	ZNF613	DYRK1A	0.0446148122571203
470	HES6	DYRK1A	0.0445357449124682
471	POLR2A	DYRK1A	0.0441828435503091
472	ARID3B	DYRK1A	0.044096074177712
473	ZNF765	DYRK1A	0.0439802554762834
474	SMAP2	DYRK1A	0.0439172153495321
475	RFX3	DYRK1A	0.0438257208325144
476	ZNF230	DYRK1A	0.0433017007328344
477	SMARCA4	DYRK1A	0.042980107987917
478	ZNF578	DYRK1A	0.0429597311151084
479	ZNF81	DYRK1A	0.0428986981608208
480	ZNF302	DYRK1A	0.0427885205610868
481	SP100	DYRK1A	0.0427636321259598
482	ECSIT	DYRK1A	0.0426630562055517
483	TCF3	DYRK1A	0.0426384693509477
484	XPA	DYRK1A	0.0424627460714426
485	RAD21	DYRK1A	0.0423525121666369
486	ZHX3	DYRK1A	0.0423522767669279
487	RBM7	DYRK1A	0.042321747435953
488	ETS1	DYRK1A	0.0422308767578277
489	HDX	DYRK1A	0.0421476266681707
490	SOD1	DYRK1A	0.0421315781446935
491	YY2	DYRK1A	0.0418627999793808
492	CERS4	DYRK1A	0.0418616434685817
493	TEAD1	DYRK1A	0.041489267986792
494	E2F4	DYRK1A	0.0407777424982642
495	ZNF155	DYRK1A	0.0407500458698173
496	GTF3C2	DYRK1A	0.0405127378902656
497	STUB1	DYRK1A	0.0404619338564707
498	ZNF324	DYRK1A	0.04036700086885
499	DHX36	DYRK1A	0.0401089037673177
500	ZNF16	DYRK1A	0.0398562676613008
501	HIST2H2BE	DYRK1A	0.0397658306319489
502	ZNF197	DYRK1A	0.0395480085992298
503	ZNF174	DYRK1A	0.0388869324899568
504	MAF	DYRK1A	0.03878179124432
505	ZBTB46	DYRK1A	0.0384508550939943
506	FOXK2	DYRK1A	0.0382108222412416
507	ZNF224	DYRK1A	0.0380734728742751
508	ZHX2	DYRK1A	0.038032906255043
509	PEG3	DYRK1A	0.03780622311837
510	CREB3	DYRK1A	0.0376887013786524
511	ZNF525	DYRK1A	0.037662435700047
512	PLAGL1	DYRK1A	0.037332108795324
513	ZBTB41	DYRK1A	0.0365341276563049
514	NCBP2	DYRK1A	0.0363907994598038
515	ZNF20	DYRK1A	0.0362293703824862
516	ZNF785	DYRK1A	0.0362288063655174
517	ZNF846	DYRK1A	0.0361246407305416
518	PHTF1	DYRK1A	0.0360818304232688
519	ZNF568	DYRK1A	0.0359161434910187
520	DAZAP1	DYRK1A	0.0355263240667206
521	ZNF541	DYRK1A	0.0354443608545988
522	ZFP30	DYRK1A	0.0352715395331808
523	NFYC	DYRK1A	0.0351914860319316
524	KLF3	DYRK1A	0.0350391224491601
525	HMGA1	DYRK1A	0.0349399250216147
526	HIF1A	DYRK1A	0.0349359500538959
527	ACAA1	DYRK1A	0.0348868664825352
528	ADNP2	DYRK1A	0.0344771167065504
529	ZNF221	DYRK1A	0.0344083653715171
530	GMEB1	DYRK1A	0.0342835523242429
531	CREB1	DYRK1A	0.0335021603061951
532	HMGB3	DYRK1A	0.0334884073453303
533	ZNF616	DYRK1A	0.0332737688727252
534	GTF3C5	DYRK1A	0.0332352878408769
535	ZBTB34	DYRK1A	0.0329159300049562
536	ZNF577	DYRK1A	0.0325660805144599
537	CENPB	DYRK1A	0.0322644864110591
538	PPARD	DYRK1A	0.0322199346162506
539	SRBD1	DYRK1A	0.0322175122771985
540	SETDB1	DYRK1A	0.0321705928293745
541	ZNF213	DYRK1A	0.0320907780716476
542	ZNF581	DYRK1A	0.0320239531475019
543	ZNF383	DYRK1A	0.0318135959522676
544	POLE4	DYRK1A	0.0314477131900461
545	DNTTIP1	DYRK1A	0.0313893946141562
546	SF3B1	DYRK1A	0.0313524723040736
547	SMAD7	DYRK1A	0.0310251515198852
548	NFATC1	DYRK1A	0.0309041987203808
549	ZNF438	DYRK1A	0.0308795507125902
550	PML	DYRK1A	0.0307773451039999
551	ZXDC	DYRK1A	0.0306399220936066
552	TBP	DYRK1A	0.0305462685567035
553	NFIC	DYRK1A	0.0305422359317235
554	ZKSCAN7	DYRK1A	0.0305019697913919
555	HMGA2	DYRK1A	0.0304951372601354
556	CNOT6	DYRK1A	0.0304129967975915
557	PRDM15	DYRK1A	0.0304081689669588
558	AEBP2	DYRK1A	0.0303238225681608
559	TPI1	DYRK1A	0.0301480638581634
560	USF1	DYRK1A	0.0299981437177185
561	JDP2	DYRK1A	0.0299055907173211
562	ZFP14	DYRK1A	0.0298573496008463
563	APEX1	DYRK1A	0.0298015418838388
564	PRDX5	DYRK1A	0.0289488124543687
565	ZNF12	DYRK1A	0.0288971228897956
566	IKZF5	DYRK1A	0.0287703302416857
567	MTA3	DYRK1A	0.0287121015360617
568	RNF114	DYRK1A	0.0286921982217872
569	ZNF552	DYRK1A	0.0286853720290459
570	MBD1	DYRK1A	0.028469672882695
571	NR2F6	DYRK1A	0.0284538676096944
572	TAL1	DYRK1A	0.0283347583408472
573	FANK1	DYRK1A	0.0283262837700988
