CD14_monos_HC_no_chr21amp	CD14_monos_MPNAML_chr21amp	CD14_monos_MPNAML_no_chr21amp	CD16_monos_HC_no_chr21amp	CD16_monos_MPNAML_chr21amp	CD16_monos_MPNAML_no_chr21amp	EoBaMa_HC_no_chr21amp	EoBaMa_MPNAML_chr21amp	EoBaMa_MPNAML_no_chr21amp	EryP_early_HC_no_chr21amp	EryP_early_MPNAML_no_chr21amp	EryP_late_HC_no_chr21amp	EryP_late_MPNAML_chr21amp	EryP_late_MPNAML_no_chr21amp	GMP_cycling_HC_no_chr21amp	GMP_cycling_MPNAML_no_chr21amp	GMP_early_HC_no_chr21amp	GMP_early_MPNAML_chr21amp	GMP_early_MPNAML_no_chr21amp	GMP_late_HC_no_chr21amp	GMP_late_MPNAML_chr21amp	GMP_late_MPNAML_no_chr21amp	HSC_HC_no_chr21amp	HSC_MPNAML_chr21amp	HSC_MPNAML_no_chr21amp	LMPP_HC_no_chr21amp	LMPP_MPNAML_no_chr21amp	MkEP_HC_no_chr21amp	MkEP_MPNAML_chr21amp	MkEP_MPNAML_no_chr21amp	MPP_HC_no_chr21amp	MPP_MPNAML_chr21amp	MPP_MPNAML_no_chr21amp
ATF4(+)	0.906302207242999	1.66878581954298	0.261204134824751	0.821581777536641	2.24411298298236	1.3854609867338	0.00993081378521724	0.886850533395855	-0.736731110453616	-0.83053934191112	-1.68223444471901	-0.81651590862794	-1.44054374869253	-1.7213801313679	1.81237862864975	-0.577628539232998	0.554088434936841	-0.0618494863324844	-0.0631319398698472	1.1978734504891	0.242611473401647	0.487125973679785	0.176144171128676	-0.388941268390118	-0.596886773339544	-0.462474835376551	0.239421314415174	-0.0127482006206386	-0.313955549301078	-0.165744054740364	-1.57872896888115	-0.667369611273902	-0.776468789614808
ATF5(+)	0.922314260035862	1.72446242575345	1.30725190966796	1.31084680557654	2.24570977276779	3.08640840538585	-0.657475493126209	-0.471952033553385	-0.587028725973051	-1.24394454180755	-1.10669380967766	-0.825765009342754	-0.17637026568474	-0.520445251764793	0.572063754259632	0.367120351652119	-0.0803542070267533	0.0107044871354754	-0.249309137761696	0.465770250157069	0.439102393627084	0.145590867516775	-0.739871506797043	-0.556771890056357	-0.616478643010257	-0.62156210007784	-0.202136430032223	-0.982008585772563	-0.594913135787636	-0.760230299745664	-0.690962593522574	-0.398589338140886	-0.514482684873966
ATF7(+)	-0.541646331923883	-0.770293958810737	-0.291935838861425	-0.521276570205578	-0.468703743416366	-0.138592031235413	0.326191007025994	1.06269995410136	1.00080584310102	-0.308906317051602	-0.706293236152884	0.240705760234817	3.25788776392385	2.73635241887619	-0.722507322130223	-0.820386670190129	0.0360302656012027	-0.99473847581265	-0.571571901198039	-0.372381401300172	-1.00213383839672	-0.401677103377659	-0.196480693840738	-0.0665556635362034	-0.230480553761428	2.21967951707273	0.133524112615186	-0.440871456276325	-0.164910911313334	-0.311299277301946	-0.16851994881174	-0.414453742375074	-0.38725965527207
BACH1(+)	1.7498465438224	2.22447021665194	1.54901472623334	1.76143772666969	2.11203997025956	1.69813355790724	-0.325929257792797	-0.279810182627356	-0.113941112661743	-1.37051569254685	-1.03275075898064	-0.426878551225896	-0.75487492202317	-1.12154423854533	0.709879928872575	0.227781944262454	-0.687952120731328	-0.386141901231341	-0.460381949082634	0.723835998002419	0.252784606894368	-0.026120087619681	-0.437919726169427	-0.511569591286758	-0.553167122220832	-0.153580522983898	-0.139789882451156	-1.00578559407217	-0.714333148696887	-0.922820399818824	-0.534249801878582	-0.509934802062036	-0.53923385286664
BATF(+)	1.68207653997246	2.76341087868565	1.30466919046083	1.39104486938384	2.39621713163907	1.27288120459686	-0.774249485384948	-0.802684819542844	-0.509192779284285	-1.30253654676556	-1.24802710044414	-0.531745142566609	-0.184040063298123	-0.31028477971431	0.605216846201147	0.628918235265077	-0.729990631140356	-0.284224689768897	-0.49426587175622	0.50820356689669	0.104497686126488	-0.00526526861278271	-0.198746355260499	-0.449342305888454	-0.328459656048097	-0.350146860685364	-0.133256806610072	-1.02290914626286	-0.810530746240911	-0.780619740535185	-0.564450292223349	-0.432216655818861	-0.40995040537539
BATF3(+)	0.698353289281345	1.01930652355857	1.09658181073273	1.72212881009116	1.83709055499564	2.71022864104326	-1.25524675626548	-0.538692172199732	-0.779030132675675	-1.52266215019202	-1.57091774204244	-1.37361926041902	-0.296973315042751	-1.02193677063947	0.435670150497624	-0.0672720691047153	-0.668822248567701	-0.258110378945701	-0.0394939345336221	0.268483784028752	-0.506230313367126	0.0919857555554512	0.0966020045241958	0.821680018571974	0.861968713951579	-0.513605625837497	0.404758885309041	-1.15661280802801	-0.537524210648754	-0.411662567870354	-0.44880560496614	0.451247474618826	0.451131644586063
BCL11A(+)	-0.435059790450148	0.00434200665990143	-0.131159701644827	-0.0950933175341131	0.114361781315229	0.0887142946714685	-0.43797706793693	0.434957621474122	0.292536858846677	-2.17469855513069	-1.71061402492055	-2.02519897248824	-0.715912544326331	-1.92130930643369	-0.530986748159783	0.359547042317034	-0.250911142059185	1.06911643971666	0.561235161797411	-0.471673697581121	0.134915159274945	0.114877053501036	0.202701566313361	1.81901354052843	0.945262209935489	0.208412623869212	1.51745102033556	-0.998508780543716	0.70587400660635	-0.200091648913195	0.599025226675077	1.90107807387615	1.02577361040841
BCL3(+)	1.78832193129338	2.13929802321093	1.5901071578257	1.91925373076764	2.10755329935018	1.80564180617446	-0.475865028808608	-0.588347936726256	-0.397679508082602	-1.22798826610551	-1.08315960275653	-0.8576382604581	-0.587003846647661	-1.00137456118999	0.751829520895843	0.191673304123229	-0.543645991126414	-0.427697068324994	-0.467013420685318	0.644637875558924	0.0308421795039009	-0.0259301577278002	-0.134598097382363	-0.551148642505614	-0.520336041410606	-0.29716220310938	-0.192351019414081	-0.829013015543334	-0.708427131922604	-0.807184534487782	-0.296732025563181	-0.518153302302827	-0.430709166422621
BCL6(+)	2.02461919454906	1.6606295274262	2.52325926924086	-0.0150441484774838	1.12972640527	1.28493846548457	-0.699185764176592	-0.74256133702567	-0.619248099390691	-0.695924182751194	-0.752546918253314	-0.336292159343875	0.25853130490023	0.0383214245636646	1.26598699368299	1.76093108660889	-0.704964167205033	-0.70689067095486	-0.710515315301329	1.08198121236664	0.331396469376635	0.417266289251065	-0.644957255082496	-0.745504916725832	-0.683288785407664	-0.724624753206139	-0.723873533451043	-0.689757327627283	-0.746976989932708	-0.715162494448382	-0.689505442086744	-0.742485413951097	-0.688277967921366
BCLAF1(+)	-0.408476015920778	-0.787156213045475	-0.951240404299102	-0.538418274656512	-0.57172000280308	-0.417397753738458	1.32439278075699	0.373298531449072	0.124179112418775	2.1833288443132	1.84722801428149	0.4798636749839	-2.52381014617007	-1.98029082326404	0.314588495543853	-1.56293493605949	0.991625782841453	-0.392675819197902	0.384411973987848	0.333784366946633	-0.485961546662168	-0.173984826406872	0.883022043032973	-0.540016679622699	-0.15955223492873	0.719840514146517	0.213433681622677	1.46000687612911	-0.355150176780804	0.622972561792804	0.168109940141607	-0.606484585734862	0.031183244902181
